timestamp,temperatura,umidade,ldr,corrente_1,corrente_2,corrente_3,payload_bytes,latencia_ms
2025-08-01T21:30:01.634918+00:00,21.5,56.2,2432,2.71,1.95,1.99,160,113.892
2025-08-01T21:40:00.837771+00:00,21.3,56.1,2815,3.12,2.38,2.42,160,564.8100000000001
2025-08-01T21:50:01.031004+00:00,21.3,56.3,2342,3.18,2.39,2.33,160,-92.21600000000001
2025-08-01T22:00:01.219567+00:00,21.3,56.5,2336,3.23,2.45,2.43,160,-104.792
2025-08-01T22:10:05.409737+00:00,21.3,56.5,2481,3.27,2.38,2.47,160,-9.714
2025-08-01T22:20:01.612105+00:00,21.4,56.6,2621,3.34,2.43,2.51,160,196.011
2025-08-01T22:30:01.815571+00:00,21.3,56.8,2559,3.33,2.46,2.44,160,93.403
2025-08-01T22:40:00.997227+00:00,21.3,56.8,2789,3.39,2.42,2.36,160,275.363
2025-08-01T22:50:01.199701+00:00,21.3,56.9,2801,3.32,2.36,2.42,160,40.580999999999996
2025-08-01T23:00:01.394882+00:00,21.3,57.0,2689,3.35,2.45,2.5,159,28.628
2025-08-01T23:10:00.610268+00:00,21.4,57.1,2268,3.31,2.43,2.4,159,754.9670000000001
2025-08-01T23:20:00.805031+00:00,21.3,57.2,2271,2.86,2.16,2.03,160,-2.797
2025-08-01T23:30:00.989857+00:00,21.4,57.3,2768,3.36,2.42,2.41,160,277.086
2025-08-01T23:40:01.190222+00:00,21.4,57.3,2709,3.42,2.48,2.51,160,571.9309999999999
2025-08-01T23:50:01.376885+00:00,21.4,57.3,2810,3.36,2.44,2.51,160,-66.14200000000001
2025-08-02T00:00:01.581731+00:00,21.4,57.4,2554,3.32,2.41,2.47,160,-89.67999999999999
2025-08-02T00:10:01.768668+00:00,21.4,57.5,2672,3.55,2.49,2.53,160,-112.853
2025-08-02T00:20:00.952948+00:00,21.4,57.5,2663,3.38,2.48,2.51,160,10.84
2025-08-02T00:30:01.134871+00:00,21.4,57.6,2484,3.36,2.47,2.48,160,-56.119
2025-08-02T00:40:01.338065+00:00,21.4,57.6,95,3.06,2.49,2.48,158,34.076
2025-08-02T00:50:01.547773+00:00,21.4,57.6,0,3.25,2.49,2.44,157,-43.219
2025-08-02T01:00:01.757163+00:00,21.3,57.9,0,3.2,2.49,2.41,156,-46.849000000000004
2025-08-02T01:10:03.967440+00:00,21.2,58.0,0,2.78,2.01,2.07,157,-3.624
2025-08-02T01:20:01.165961+00:00,21.1,58.1,0,3.27,2.47,2.44,157,8.133
2025-08-02T01:30:01.367466+00:00,21.1,58.2,0,3.09,2.43,2.45,157,88.51100000000001
2025-08-02T01:40:01.579884+00:00,21.1,58.2,0,3.16,2.44,2.49,157,-22.773999999999997
2025-08-02T01:50:01.783895+00:00,21.0,58.2,0,3.16,2.48,2.51,157,-18.898000000000003
2025-08-02T02:00:00.967250+00:00,21.0,58.2,0,3.21,2.46,2.43,157,191.26399999999998
2025-08-02T02:10:01.169125+00:00,21.0,58.4,0,3.08,2.49,2.45,157,84.438
2025-08-02T02:20:01.364117+00:00,20.9,58.4,0,3.09,2.46,2.43,157,68.566
2025-08-02T02:30:01.584796+00:00,20.9,58.4,0,2.58,1.97,1.95,157,-28.799000000000003
2025-08-02T02:40:00.791025+00:00,20.9,58.5,0,3.13,2.51,2.46,157,48.512
2025-08-02T02:50:01.994746+00:00,20.9,58.5,0,3.16,2.54,2.5,156,69.351
2025-08-02T03:00:01.198679+00:00,20.8,58.6,0,3.16,2.43,2.48,157,74.444
2025-08-02T03:10:01.389458+00:00,20.8,58.6,0,3.26,2.48,2.45,157,77.836
2025-08-02T03:20:01.601407+00:00,20.8,58.7,0,2.86,2.22,2.44,157,134.439
2025-08-02T03:30:00.806199+00:00,20.8,58.7,0,3.12,2.51,2.45,157,125.808
2025-08-02T03:40:01.005685+00:00,20.8,58.7,0,3.11,2.47,2.44,157,34.31
2025-08-02T03:50:01.205701+00:00,20.8,58.8,0,3.11,2.52,2.44,157,123.602
2025-08-02T04:00:01.406955+00:00,20.7,58.8,0,3.06,2.45,2.43,157,75.928
2025-08-02T04:10:01.625769+00:00,20.7,58.8,0,3.21,2.46,2.51,157,-19.257
2025-08-02T04:20:00.838358+00:00,20.7,58.8,0,3.13,2.51,2.49,157,336.277
2025-08-02T04:30:01.042758+00:00,20.7,58.9,0,3.08,2.44,2.4,156,684.037
2025-08-02T04:40:01.227226+00:00,20.7,58.8,0,3.06,2.42,2.46,157,14.755
2025-08-02T04:50:01.413983+00:00,20.7,58.9,0,3.12,2.45,2.45,157,25.012
2025-08-02T05:00:01.622787+00:00,20.6,58.9,0,3.14,2.48,2.52,157,20.437
2025-08-02T05:10:00.803902+00:00,20.6,59.0,0,3.08,2.41,2.5,156,12.370000000000001
2025-08-02T05:20:00.995108+00:00,20.6,59.0,0,3.14,2.44,2.44,157,736.6279999999999
2025-08-02T05:30:01.181980+00:00,20.6,59.0,0,3.09,2.44,2.44,157,-23.133999999999997
2025-08-02T05:40:01.360512+00:00,20.6,59.0,0,2.59,2.01,1.95,157,-18.609
2025-08-02T05:50:01.578317+00:00,20.6,59.0,0,3.13,2.48,2.45,157,-21.916999999999998
2025-08-02T06:00:00.785067+00:00,20.6,59.1,0,3.15,2.46,2.52,157,84.76899999999999
2025-08-02T06:10:00.987823+00:00,20.6,59.1,0,3.13,2.44,2.44,157,58.759
2025-08-02T06:20:01.187576+00:00,20.6,59.1,0,3.13,2.45,2.45,157,35.808
2025-08-02T06:30:01.381660+00:00,20.6,59.1,0,3.08,2.33,2.44,157,-41.963
2025-08-02T06:40:01.592057+00:00,20.6,59.1,0,3.22,2.46,2.47,157,71.733
2025-08-02T06:50:00.805859+00:00,20.6,59.1,0,3.01,2.4,2.44,156,26.047
2025-08-02T07:00:01.012114+00:00,20.5,59.2,0,3.13,2.45,2.45,157,694.3040000000001
2025-08-02T07:10:01.209185+00:00,20.6,59.2,0,3.13,2.44,2.38,157,8.953
2025-08-02T07:20:01.401353+00:00,20.6,59.1,0,2.77,2.01,2.07,157,-37.418
2025-08-02T07:30:01.614338+00:00,20.6,59.1,0,3.23,2.44,2.44,157,-71.179
2025-08-02T07:40:01.819171+00:00,20.6,59.2,0,3.19,2.45,2.5,156,29.046
2025-08-02T07:50:01.022395+00:00,20.6,59.1,0,3.21,2.4,2.43,156,625.3330000000001
2025-08-02T08:00:01.215904+00:00,20.5,59.2,0,3.37,2.39,2.44,157,149.93200000000002
2025-08-02T08:10:01.414098+00:00,20.5,59.1,0,3.11,2.39,2.43,157,405.90700000000004
2025-08-02T08:20:01.629374+00:00,20.5,59.2,0,3.09,2.4,2.46,156,-30.104
2025-08-02T08:30:00.835464+00:00,20.5,59.1,0,3.11,2.41,2.45,157,615.834
2025-08-02T08:40:01.026189+00:00,20.5,59.2,0,3.12,2.43,2.45,157,1.1620000000000001
2025-08-02T08:50:02.217741+00:00,20.5,59.1,0,2.99,2.48,2.44,157,-45.785
2025-08-02T09:00:01.406749+00:00,20.5,59.2,0,3.1,2.42,2.46,156,16.224
2025-08-02T09:10:01.620748+00:00,20.5,59.2,0,3.06,2.38,2.44,157,27.184
2025-08-02T09:20:00.826742+00:00,20.5,59.2,0,3.07,2.39,2.46,157,352.682
2025-08-02T09:30:01.029825+00:00,20.5,59.2,0,3.08,2.45,2.46,157,5.66
2025-08-02T09:40:01.210493+00:00,20.5,59.2,0,2.77,2.06,2.1,156,7.762
2025-08-02T09:50:01.423634+00:00,20.5,59.2,0,3.11,2.42,2.51,157,44.526999999999994
2025-08-02T10:00:00.641944+00:00,20.5,59.2,0,3.05,2.45,2.45,157,370.762
2025-08-02T10:10:00.851671+00:00,20.5,59.2,0,3.02,2.44,2.43,157,720.904
2025-08-02T10:20:01.044836+00:00,20.5,59.2,0,3.08,2.48,2.51,157,136.436
2025-08-02T10:30:01.236920+00:00,20.5,59.2,0,2.72,2.02,2.04,157,191.673
